"word","word_count"
"Css,Conference,Xml,Html,Mobile,Javascript,Php","2"
"Spring,Java,Devops,Javascript","2"
"Dataanalysis,Excel,Attentiontodetail,Msexcelfunctions,Vbaformsexcel,Macros,Sql,Analyst","2"
"Pythontestautomation,Flashbootloadertesting,Serialcommunicationprotocols(Can/Lin/Flexray/Ethernet),Requirementsengineering,Scriptinglanguages,Testcases,Security,Testingtools,Defectmanagement,Perl,Testdesign,Infrastructure,Agile","2"
"Storage,Emr,Security,San,Customersuccess,Consulting,Businessanalytics,Interconnect,Systemarchitecture,Infrastructure,Forms","2"
"Devopsengineering,Continuousintegration,Continuousdeployment,Linux/Unixadministration,Cloudplatforms,Orchestration,Docker,Security,Infrastructure","2"
"Python,Testautomation,Requirementanalysis,Testdesign,Execution,Testcases,Security,Testingtools,Defectmanagement,Perl,Infrastructure,Agile","2"
"Oracle,Html5,Hibernateframework,Ajax,Javadeveloper,Sql,Struts,Leadershipskills,Javaee,.Net","2"
"Python,Testautomation,Flashbootloader,Serialcommunicationprotocols,Requirementsengineering,Testcases,Security,Testingtools,Defectmanagement,Perl,Testdesign,Infrastructure,Agile","2"
"Css,Aicc,Sharepoint,Javascript,Xml,.Net,Softwareengineer,Mvc,Documentum","2"
"Devops,Testleader,Agileandciautomation,Highperformancejavadesignpatterns,Sqlserverexpertise.,Continuousintegration,Testing,Security,Technologyconsulting,Metrics","2"
"Html,Css,Ajax,Jquery,Javascript,Xml","2"
"Orchestration,Database,Git,Apache,Webworks,Devops,Mysql,Globaldelivery,Github,Infrastructure","2"
"Css,Github,Html5,Javascript,Softwareengineering","2"
"Hibernate,Javadeveloper,Spring,Java,J2Ee,Softwaredeveloper,Soap","2"
"Storage,Database,Adf,Python,Cl,Sqlscripting,Sqldatabase","2"
"Css,Html5,Bootstrap,Javascript,Jquery,Xml,Php,Debugging,Html","2"
"Rest,Html5,Ajax,Jquery,Salesforce,Xml,Json,Html,Soap","2"
"Git,Apache,Mysql,Mongodb,Javascript","2"
"Applicationsupport,Automation,Troubleshooting,Debugging,Webservices,Rest,Xml,Json","2"
"Photoshop,Webdesigner,Css3","2"
"Fullstackwebdevelopment,Javascript,Node,Js,Objectorientedprogramming,Designpatterns,Css,Mobile,Bootstrap,Nosql,Security,Node.Js,Cassandra,Devops,Mysql,Mongodb","2"
"Css,Html5,Bootstrap,Jquery,Java,Iam,Devops,Mysql,Python,Rdbms,Oracle,Javascript,Javadeveloper,Groovy,Forms","2"
"Sqldba,Mssqladmin,Azure,Alwayson,Databasemigration,Clustering,Disasterrecoveryplanning,Security,Mirroring,Replication,Performancetuning,Databaseadministration,Logshipping","2"
"Xml,Webtechnologies,Html,Problemsolving","2"
"Python,Css,Userinteraction,Bootstrap,Openerp,Database,Xml,Oops,Html","2"
"Css,Html,Graphics,Bootstrap,Javascript,Jquery","2"
"Awsexperience,Linux,Networking,Clouddesignpatterns,Scriptinglanguage(Shell/Python),Cloudera,Hive,Orchestration,Docker,Security,Java,Iam,Technologyconsulting,Api,Hadoop,Productionenvironment,Splunk","2"
"Python,Testautomation,Flashbootloadertesting,Pythontestautomation,Serialcommunicationprotocols,Testcases,Security,Testingtools,Defectmanagement,Perl,Testdesign,Infrastructure,Agile","2"
"Programmanagement,Ajax,Spring,Java,Xml,Softwareengineering,Pl/Sql,Softwaretesting,Javascript,Javadeveloper,Eclipse,Struts,Soap,Sql,Docker,Database,Linux,Json,Technicalskills,Mongodb,Rest,Junit,Problemsolving,Windows","2"
"Databasemanagementsystem,Mobile,Eclipse,Java,Xml,Json,Mysql,Api","2"
"Oraclepl/Sqldevelopment,Sqldevelopment,Postgresqldevelopment,Java,Etl,Artificialintelligence,Sqldeveloper,Softwareengineering,Telecom","2"
"Css,Javascript,Node.Js,Html","2"
"Performancetuning,Disasterrecovery,Recovery,Sql,Sqldatabaseadministrator,Database","2"
"Html5,Javascript,Css3","2"
"Java,Devops,C#,Vb,Javascript,Sql,Git,Linux,Softwareengineer,Crm,Delphi,Windows","2"
"Css,Html5,Bootstrap,Javascript,Jquery,Webtechnologies,Html","2"
"Css,Javascript,Json,Html,Api","2"
"Css,Phpdeveloper,Php,Html,Javascript,Jquery","2"
"Rest,Python,Html5,Mobile,Problemsolving,Javascript,React.Js,Django,Git,Infrastructure,Json,Api","2"
"Excellenttechnicalskills,Strongproblemsolvingskills,Attentiontodetail,Excellentorganizationalandtimemanagementskills,Awarenessofdevopsandagileprinciples,Goodknowledgeofrubyorpython,Workingknowledgeofdatabasesandsql.,Softwareengineering","2"
"Css,C,Windows,Linux,Html","2"
"Rest,Html5,Bootstrap,Javascript,Jquery,Xml,Json,Angularjs,Soap","2"
"Devops","2"
"C/Cprogramming,Javaprogramming,Pythonprogramming,Sql,Git/Perforce,Softwarerequirements,Databasemanagement,Security,Debugging,Softwareengineering,Api,Embeddedsoftware","2"
"Css,Html,Webdesigning,Jquery","2"
"Css,Teamplayer,Bootstrap,Javascript,Git,Html","2"
"Css,Wordpress,Javascript,Jquery,Codeigniter,Opencart,Php,Html,Mysql,Magento","2"
"Css,Java,Html","2"
"Python,Testautomation,Flashbootloadertesting,Serialcommunicationprotocols,Requirementsengineering.,Testcases,Security,Testingtools,Defectmanagement,Perl,Testdesign,Infrastructure,Agile","2"
"Python,Testautomation,Flashbootloadertesting,Serialcommunicationprotocols,Requirementsengineering,Testcases,Security,Testingtools,Defectmanagement,Perl,Testdesign,Infrastructure,Agile","2"
"Design&Fabrication,Excel,Communication,Mechanical,Analyticalskills,Portfolio","2"
"Html5,Storage,Security,Database,Xml,Debugging,Javascript,Node.Js","2"
"Css,Node.Js,Html,Javascript","2"
"Algorithms,Python,Css,Javascript,Html","2"
"C#,Informationtechnology,Asp.Net,Javascript,Jquery,Sqlserverdevelopment,Webapi,Mvc,Softwaredeveloper","2"
"Mobile,Angularjs,Javascript","2"
"Node.Js,Html5,Javascript","2"
"Xmlediting,Dtd,Xmlschema,Contentanalysis,Contentwriting,Security,Computerskills","2"
"Misreports,Advancedexcel,Dataanalysis,Microsoftexcel,Systemintegration,Manufacturing,Maintenance","2"
"Pl-Sql,Sdlc,Dynamicsql,Oraclerac,Sql,Refcursor,Datatesting,Dataimplementing,Troubleshooting","2"
"Laravel,Css,Php,Html","2"
"Css,Html5,Wordpress,Mobile,Joomla,Html","2"
"1)Clientrequirements2)Functionalspecifications3)Webdevelopment4)Webdesign5)Codingpractices,Css,Html5,Mobile,Ajax,Javascript,Jquery,Webtechnologies","2"
"Php,Mysql,Html5","2"
"Css,Html5,Mobile,Bootstrap,Javascript,Jquery,Html","2"
"Sqldba,Mssqladmin,Azure,Alwayson,Databasemigration,Disasterrecoveryplanning,Security,Mirroring,Replication,Performancetuning,Databaseadministration,Logshipping","2"
"Python","2"
"Css,Wordpress,Xml,Mysql,Html,Ajax,Jquery","2"
"Htmljava,Htmlxml","2"
"Orchestration,Devops,Softwareengineering,Mysql,Python,Github,Ubuntu,Javascript,Nosql,Unixsystemadministration,Fundamentals,Sql,Docker,Security,Git,Linux,Debian,Debugging,Mongodb,Svn,Infrastructure","2"
"Css,Github,Javascript,React.Js,Debugging,Html","2"
"Html5,Wordpress,Jquerymobile,Bootstrap,Jquery,Javascript,Cssdeveloper,Html,Magento","2"
"Java,Jsp,Struts,Jquery,Javascript,Html5,Ajax,Javadeveloper,Database,Mysql,Mvc","2"
"Devops,Sre,Aws,Linuxdebugging,Containers,Jenkins,Terraform,Python,Datadog,Informationtechnology,Security,Infrastructure,Productionenvironment","2"
"Junit,Soa,Restapi,Mockito,Javadeveloper,Messaging,Sql,Nosql,Spring,Springboot,Database,Java,Cassandra,J2Ee,Multithreading","2"
"Hibernet,Springboot,Springframework,Java,Corejavaj2Ee,Oracle,Selenium","2"
"React.Js,Css,Git,Html,Javascript,Jquery","2"
"Css,Javascript,Xml,Php,Html,Magento,Crm","2"
"Wordexcel,Typing","2"
"Rsuite,Java,Camunda,C#.Net,Agile,Informationtechnology,Seniorsoftwareengineer,Sql,Elasticsearch,Security,Xml,Rest,Softwaresupport","2"
"Css,Html5,Bootstrap,Jquery,Java,Iam,Devops,Mysql,Python,Rdbms,Oracle,Javascript,Springboot,Groovy,Softwaredeveloper","2"
"Css,Mobile,Bugfixing,Java,Xml,Oops,Debugging,Html","2"
"Javascriptdeveloper,Html,Javascript","2"
"Css,Html5,Xml,Mobile,Html,Webdevelopment,Javascript,Jquery","2"
"Css,Html5,Aicc,Xml,Html,Javascript,Jquery","2"
"Css,Html5,Teamplayer,Html,Jquery","2"
"Bigdata/Python,Aws,Backendwebdevelopment,Flask/Django/Fastapi,Ci/Cdpractices,Technologyconsulting","2"
"Sql,Vba,Supplychain,Logistics,Dataanalysis,Informationtechnology,Businessrequirements,Dashboards,Macros,Msaccess,Mining,Usertraining,Bi,Sapgui,Advancedexcel,Tableau,Analyst,Statisticalanalysis","2"
"Sql,Php,Technicalskills","2"
"R2,Microsofttechnologies,Bi,T-Sql,Sql,Database,Ssrs,Windows,Triggers,Productionsupport","2"
"Css,Javascript,Jquery,Salesforce,Java,Xml,Html","2"
"Testautomation,Python,Requirementanalysis,Testdesign,Executionoftestcases,Security,Testingtools,Defectmanagement,Perl,Infrastructure,Agile","2"
"Soa,Hibernate,Xpath,Java,Wsdl,Xml,J2Ee,Json,Ejb,Rest,Junit,Problemsolving,Javadeveloper,Springframework,Servlets,J2Eetechnologies,Xmlschema,Soap","2"
"Python,Sql,Xml,Splunk,Html,Unix/Linux,Soap","2"
"Rest,Python,Github,Sql,Database,Security,Django,Xml,Json,Soap","2"
"Billing,Salespurchase,Accounting,Taxation,Tally,Excel,Accountsexecutive,Gst","2"
"Java,Html5,Javascript","2"
"Devops,Azure,Ci/Cd,Kubernetes,Terraform,Orchestration,Docker,Security,Infrastructure","2"
"Linuxsystemadministration,Python,Cloudservices,Writtencommunication,Devops,Infrastructure,Mysql","2"
"Css,Html5,Mobile,Javascript,Jquery,Webdeveloper,Html,Api","2"
"Javascript,Html,Taag-Adops","2"
"Uaeexperienced,Accountant,Tally,Excel,Malayalam,Reports,Accounts,Reporting","2"
"React.Js,Json,Javascript","2"
"Css,Html5,Mobile,Bootstrap,Html","2"
"Html,Javascript,Jquery,Dotnet","2"
"Database,Html5,Mysql,Javascript","2"
"Python2,Python3,Django,Javascript,Html,Postgresql/Mysql,Restapi,Celeryrabbitmq,Redis.,Css,Oop","2"
"Fundamentals,Python,Css,Javascript,Jquery,Database,Django,Java,Json,Html","2"
"Mvvm,Xml,Json,Datastructures,Cprogramming,Mvc","2"
"Cache,Css,Mysql,Html","2"
"Algorithms,Css,Html","2"
"Macros,Vba,Advancedexcel,Vbamacros,Excelvba,Dashboards","2"
"Html5,Javascript,Jquery,Shopify","2"
"Css,Ado.Net,Ajax,Jquery,Sql,Xml,Devops,Asp.Net,Webapi,Html,Mvc,C#,Mvcframework,Visualstudio,.Net","2"
"Css,Html5,Knockoutjs,Javascript,Jquery,Angularjs","2"
"Css,Xml,Html,Sem,Reportingtools","2"
"Css,Html,Bootstrap,Jquery","2"
"Css,Html,Bootstrap,Webdesigning,Javascript,Jquery","2"
"Databaseexpertise,Sqlqueries,Clouddatabase,Databasedesign,Troubleshooting,Databasemanagement,Sqldatabase","2"
"Accounting,Excel,Profit,Seniorexecutive","2"
"Rdbms,Oracle,Jsp,Problemsolving,Jquery,Java,J2Ee,Servlets,Webdevelopment,Html,Mvc","2"
"Css,Html,Teamplayer","2"
"Html,Css,Javascript,Reactjs,Wordpress,Json,Jquery","2"
"Css,Html,Javascript,Uidevelopment","2"
"Css,Html,Mvc,Javascript,Jquery","2"
"Rest,Xml,Html,Forms","2"
"Python,Etl,Rdbmsknowledge,Scripting,Sql,Datastage,Dataengineer,Teradata,Informatica","2"
"Bootstrap,Html,Jquery,Photoshop,Angluarjs/Reactjs,Softwaretesting,Html5,Webdevelopment","2"
"Css,Wordpress,Html5,Bootstrap,Ajax,Javascript,Php,Html,Dhtml","2"
"Css,Informationtechnology,Database,Xml,Html,Javascript","2"
"Css,Wordpress,Drupal,Html","2"
"Css,C,Sem,Html","2"
"Css,Html5,Mobile,Bootstrap,Jquery,Html","2"
"Rest,Html5,Javascript,Jquery,Xml,Debugging,Json,Php,Html","2"
"Css,Xml,Html,Skillstoevaluate","2"
"Excel,Stronganalyticalskills,Profit,Finance","2"
"Pl/Sql,Plsql","2"
"Css,Html5,Ajax,Javascript,Jquery,Xml,Json,Html","2"
"Css,Mobile,Java,Git,Html","2"
"Css,Wordpress,Database,Webdeveloper,Php,Html","2"
".Net,Sql,Webforms,Javascript,Queryoptimization,Css,Html5,Sqlserverdevelopment,Vb.Net,Jquery,Database,Asp.Net,Sqldeveloper,Visualbasic,C#,.Netdeveloper,Visualsourcesafe,Productionsupport","2"
"Msword,Msexcel,Outlook,Financialsoftware,Reconcilesbank,Generalledger","2"
"Javascript,Css,Frontend","2"
"React.Js,Css,Html,Api,Javascript","2"
"Troubleshooting,Coding,Softwaredeployment,Systemreporting,Java,Sql,Database,Devops,Xml,Debugging,Perl,Cloudcomputing,Python,Operatingsystem,Unix/Linux,Soap","2"
"Sql,Database,Ssrs,Sqldeveloper,Bigdata","2"
